time,E,weather type,temperature,visibility,air pressure,wind_speed,wind_angle,speed,payload,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0,0,2,22.2,16.1,1017,1.899999976,134,4,0,25,0.006491539,0.006187458,-0.749156415,0.662332475,0.00293203,-0.005319938,0.014771616,-0.001190309,-0.002999262,0.001140732,-0.013121554,-0.178236929,-9.807006226
0.1,0.111413879,2,22.2,16.1,1017,1.799999952,130,4,0,25,0.006484632,0.006168941,-0.749159753,0.662328899,-0.000644571,-0.007639285,0.013740217,-0.006248809,0.001150587,0.004391449,-0.008115331,-0.176816805,-9.807096857
0.2,0.185679851,2,22.2,16.1,1017,1.700000048,126,4,0,25,0.006486348,0.00616978,-0.749163508,0.662324607,-0.000577189,-0.007875976,0.01459809,-0.002042144,0.003492569,-0.001906673,-0.004649847,-0.169912869,-9.808974398
0.4,0.371339774,2,22.2,16.1,1017,1.700000048,124,4,0,25,0.006480173,0.006178842,-0.74916327,0.662324965,8.15E-05,-0.005758258,0.013909848,0.002565129,-0.000976812,0.000891043,-0.005500086,-0.171455018,-9.809250387
0.5,0.464249414,2,22.2,16.1,1017,1.600000024,119,4,0,25,0.006513181,0.006205365,-0.749164522,0.662322938,0.007344263,-0.006298301,0.013545988,0.002057132,-0.001048604,0.001689838,-0.011656951,-0.176231663,-9.806981667
0.7,0.649949179,2,22.2,16.1,1017,1.600000024,113,4,0,25,0.006511784,0.006207939,-0.749168158,0.662318826,0.007569892,-0.006450464,0.014190064,0.000763924,-0.004326823,-0.005147475,-0.013334356,-0.176438709,-9.805740888
0.8,1.040141627,2,22.2,16.1,1017,1.700000048,106,4,0,25,0.006507376,0.006196429,-0.749167919,0.662319243,0.00576622,-0.007872833,0.013299456,-0.003350696,0.002338941,0.003050012,-0.006854628,-0.174650777,-9.806603352
1,2.970240334,2,22.2,16.1,1017,1.600000024,104,4,0,25,0.006504959,0.006193258,-0.749167979,0.662319243,0.005599549,-0.007903683,0.013518797,0.000556565,-0.003628672,-0.004643225,-0.003945599,-0.174224058,-9.805808131
1.1,3.063224527,2,22.2,16.1,1017,1.600000024,110,4,0,25,0.00649296,0.006176188,-0.749172151,0.662314713,0.00085146,-0.009100581,0.012986851,0.005608682,-0.00096414,-0.005324771,-0.008930474,-0.172243734,-9.807751746
1.3,1.206724824,2,22.2,16.1,1017,1.600000024,110,4,0,25,0.006495628,0.006178271,-0.749176323,0.662309945,0.001468161,-0.009415184,0.013561937,-0.001014122,-9.07E-06,0.004516982,-0.009338191,-0.174381987,-9.809943282
1.5,1.671297861,2,22.2,16.1,1017,1.600000024,111,4,0,25,0.00649361,0.006194093,-0.749176621,0.662309587,0.003791793,-0.007025396,0.013495845,0.001100186,0.002770379,0.005442752,-0.00594076,-0.17737779,-9.805898178
1.6,1.782717719,2,22.2,16.1,1017,1.600000024,113,4,0,25,0.006496116,0.006190892,-0.749178052,0.662307978,0.002842053,-0.008030289,0.008572815,-0.001984015,-0.005338086,-0.004792481,-0.010134825,-0.177600368,-9.804359776
1.7,5.679670841,2,22.2,16.1,1017,1.799999952,116,4,0,25,0.006496571,0.006190502,-0.749181986,0.662303448,0.003070962,-0.008353627,0.009028753,-0.001275007,0.000553059,-0.005945271,-0.00121118,-0.172018324,-9.809178466
1.9,3.880292658,2,22.2,16.1,1017,1.899999976,121,4,0,25,0.006496221,0.006199927,-0.749182761,0.662302494,0.00494564,-0.006501282,0.009527542,-0.002992728,0.003817901,0.002717964,-0.006642553,-0.172430845,-9.80789968
2,4.082766154,2,22.2,16.1,1017,1.799999952,124,4,0,25,0.006497399,0.00619447,-0.749187171,0.662297487,0.003894564,-0.00801576,0.010051779,-0.002722942,0.001545018,0.003128541,-0.00744581,-0.179000886,-9.804863806
2.21,1.641057797,2,22.2,16.1,1017,1.799999952,126,4,0,25,0.00649892,0.006196172,-0.749190688,0.662293613,0.004186012,-0.007984409,0.010617424,-0.001361171,0.003617686,0.006567488,-0.005560226,-0.17928285,-9.806178845
2.4,2.673789816,2,22.2,16.1,1017,1.600000024,134,4,0,25,0.006498518,0.006191301,-0.749191523,0.662292719,0.002891552,-0.008927414,0.010397776,0.000940232,-0.004493644,-0.008024856,-0.00805001,-0.174145979,-9.808529425
2.5,3.249919976,2,22.2,16.1,1017,1.600000024,135,4,0,25,0.006496675,0.006190668,-0.749191582,0.662292659,0.003263618,-0.009029336,0.010839013,-0.001984411,0.002738209,0.004721161,-0.006389024,-0.173706305,-9.808862717
2.6,2.895673659,2,22.2,16.1,1017,1.600000024,140,4,0,25,0.006486861,0.006200358,-0.749195635,0.66228807,0.002260587,-0.00566039,0.01108202,-0.00107067,0.001035823,0.003104255,-0.005467908,-0.177848473,-9.806025063
2.8,3.119923158,2,22.2,16.1,1017,1.5,141,4,0,25,0.006487231,0.006200406,-0.749198794,0.662284493,0.00228095,-0.005732333,0.011214182,0.000130311,-0.001247496,-0.004676769,-0.005763358,-0.179812041,-9.806369464
